Graph,Algorithm,Nodes,Edges,Terminals,Expected cost,Steiner tree cost,Absolute error,Relative error (%),Runtime (s),Validated
D16,Simple 11/6 Basic,1000,25000,5,13,15,2,15.384615384615374,19.95475196838379,True
D16,Simple 11/6 Basic w/ zeroing contraction,1000,25000,5,13,14,1,7.692307692307687,19.21934485435486,True
D16,Simple 11/6 Full,1000,25000,5,13,15,2,15.384615384615374,20.22354793548584,True
D16,Simple 11/6 Full w/ zeroing contraction,1000,25000,5,13,14,1,7.692307692307687,18.721726417541504,True
D17,KMB Basic,1000,25000,10,23,27,4,17.391304347826097,0.6657066345214844,True
D17,KMB Full,1000,25000,10,23,26,3,13.043478260869556,0.6968863010406494,True
D17,Simple 11/6 Basic,1000,25000,10,23,26,3,13.043478260869556,20.099496841430664,True
D17,Simple 11/6 Basic w/ zeroing contraction,1000,25000,10,23,24,1,4.347826086956519,22.168546676635742,True
D17,Simple 11/6 Full,1000,25000,10,23,24,1,4.347826086956519,22.983049392700195,True
D17,Simple 11/6 Full w/ zeroing contraction,1000,25000,10,23,23,0,0.0,20.552247762680054,True
E01,KMB Basic,2500,3125,5,111,140,29,26.126126126126124,0.033219099044799805,True
E01,KMB Full,2500,3125,5,111,125,14,12.612612612612617,0.041805267333984375,True
E01,Simple 11/6 Basic,2500,3125,5,111,120,9,8.108108108108114,21.055689811706543,True
E01,Simple 11/6 Basic w/ zeroing contraction,2500,3125,5,111,115,4,3.603603603603611,21.01927638053894,True
E01,Simple 11/6 Full,2500,3125,5,111,118,7,6.3063063063063085,22.16506814956665,True
E01,Simple 11/6 Full w/ zeroing contraction,2500,3125,5,111,113,2,1.8018018018018056,20.42473292350769,True
E02,KMB Basic,2500,3125,10,214,278,64,29.90654205607477,0.14574050903320312,True
E02,KMB Full,2500,3125,10,214,244,30,14.018691588785037,0.14960336685180664,True
E02,Simple 11/6 Basic,2500,3125,10,214,252,38,17.757009345794383,24.13962745666504,True
E02,Simple 11/6 Basic w/ zeroing contraction,2500,3125,10,214,243,29,13.551401869158886,24.543950080871582,True
E02,Simple 11/6 Full,2500,3125,10,214,240,26,12.149532710280365,22.974851846694946,True
E02,Simple 11/6 Full w/ zeroing contraction,2500,3125,10,214,228,14,6.542056074766345,22.528222799301147,True
E06,KMB Basic,2500,5000,5,73,91,18,24.657534246575352,0.05351448059082031,True
E06,KMB Full,2500,5000,5,73,86,13,17.808219178082197,0.060546875,True
E06,Simple 11/6 Basic,2500,5000,5,73,89,16,21.91780821917808,26.623939037322998,True
E06,Simple 11/6 Basic w/ zeroing contraction,2500,5000,5,73,76,3,4.109589041095885,26.547037601470947,True
E06,Simple 11/6 Full,2500,5000,5,73,84,11,15.068493150684926,26.218060731887817,True
E06,Simple 11/6 Full w/ zeroing contraction,2500,5000,5,73,76,3,4.109589041095885,26.01857018470764,True
E07,KMB Basic,2500,5000,10,145,193,48,33.10344827586207,0.23429656028747559,True
E07,KMB Full,2500,5000,10,145,165,20,13.793103448275868,0.2533528804779053,True
E07,Simple 11/6 Basic,2500,5000,10,145,167,22,15.172413793103456,25.74472689628601,True
E07,Simple 11/6 Basic w/ zeroing contraction,2500,5000,10,145,167,22,15.172413793103456,27.839029550552368,True
E07,Simple 11/6 Full,2500,5000,10,145,147,2,1.379310344827589,28.47524094581604,True
E07,Simple 11/6 Full w/ zeroing contraction,2500,5000,10,145,149,4,2.758620689655178,27.694550275802612,True
E11,KMB Basic,2500,12500,5,34,40,6,17.647058823529417,0.11758136749267578,True
E11,KMB Full,2500,12500,5,34,39,5,14.705882352941169,0.12136268615722656,True
E11,Simple 11/6 Basic,2500,12500,5,34,38,4,11.764705882352944,44.98519253730774,True
E11,Simple 11/6 Basic w/ zeroing contraction,2500,12500,5,34,37,3,8.823529411764696,44.14921474456787,True
E11,Simple 11/6 Full,2500,12500,5,34,37,3,8.823529411764696,44.248743772506714,True
E11,Simple 11/6 Full w/ zeroing contraction,2500,12500,5,34,37,3,8.823529411764696,43.02655506134033,True
E12,KMB Basic,2500,12500,10,67,76,9,13.432835820895516,0.430678129196167,True
E12,KMB Full,2500,12500,10,67,73,6,8.955223880597018,0.44382715225219727,True
E12,Simple 11/6 Basic,2500,12500,10,67,72,5,7.462686567164178,50.02108311653137,True
E12,Simple 11/6 Basic w/ zeroing contraction,2500,12500,10,67,70,3,4.477611940298498,46.50254535675049,True
E12,Simple 11/6 Full,2500,12500,10,67,69,2,2.9850746268656803,45.82347655296326,True
E12,Simple 11/6 Full w/ zeroing contraction,2500,12500,10,67,70,3,4.477611940298498,47.631839990615845,True
E16,KMB Basic,2500,62500,5,15,19,4,26.66666666666666,0.6675124168395996,True
E16,KMB Full,2500,62500,5,15,17,2,13.33333333333333,0.7873146533966064,True
E16,Simple 11/6 Basic,2500,62500,5,15,17,2,13.33333333333333,174.58000707626343,True
E16,Simple 11/6 Basic w/ zeroing contraction,2500,62500,5,15,15,0,0.0,165.74679136276245,True
E16,Simple 11/6 Full,2500,62500,5,15,15,0,0.0,166.95752143859863,True
E16,Simple 11/6 Full w/ zeroing contraction,2500,62500,5,15,15,0,0.0,172.49515509605408,True
